alpha,eta,omega,m,epsilon,q,sigma0,R,Kappa,phi,r0,K,lambda_A,Omega0,segment_mode,Xi,logG,lhs,stable_direct,stable_criterion,near_boundary,criterion_margin,integral_gamma,damping_sum,log_mirror
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,1.15555555556,uniform,252.89915900631027,209.19130953042418,0.0,False,False,False,-252.89915900631027,209.19141953547452,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,1.15555555556,uniform,252.89915900631027,194.53756380400105,5.120000000000001,False,False,False,-247.77915900631027,209.19141953547452,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,1.15555555556,uniform,252.89915900743065,209.19130953135968,0.0,False,False,False,-252.89915900743065,209.19141953641002,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,1.15555555556,uniform,252.89915900743065,194.53756380493655,5.120000000000001,False,False,False,-247.77915900743065,209.19141953641002,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,1.36666666667,uniform,301.2826566660113,249.58971930491956,0.0,False,False,False,-301.2826566660113,249.5898293099699,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,1.36666666667,uniform,301.2826566660113,234.93597357849643,5.120000000000001,False,False,False,-296.1626566660113,249.5898293099699,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,1.36666666667,uniform,301.2826566657567,249.58971930470696,0.0,False,False,False,-301.2826566657567,249.5898293097573,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,1.36666666667,uniform,301.2826566657567,234.93597357828384,5.120000000000001,False,False,False,-296.1626566657567,249.5898293097573,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,1.57777777778,uniform,349.6661543243373,289.98812907826687,0.0,False,False,False,-349.6661543243373,289.9882390833172,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,1.57777777778,uniform,349.6661543243373,275.3343833518437,5.120000000000001,False,False,False,-344.5461543243373,289.9882390833172,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,1.57777777778,uniform,349.6661543240826,289.9881290780542,0.0,False,False,False,-349.6661543240826,289.98823908310453,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,1.57777777778,uniform,349.6661543240826,275.33438335163106,5.120000000000001,False,False,False,-344.5461543240826,289.98823908310453,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,1.78888888889,uniform,398.04965198266325,330.38653885161415,0.0,False,False,False,-398.04965198266325,330.38664885666446,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,1.78888888889,uniform,398.04965198266325,315.732793125191,5.120000000000001,False,False,False,-392.92965198266324,330.38664885666446,14.653745726423134,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.0,1.78888888889,uniform,398.04965198240865,330.38653885140155,0.0,False,False,False,-398.04965198240865,330.38664885645187,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,16,0.8,1.78888888889,uniform,398.04965198240865,315.7327931249784,5.120000000000001,False,False,False,-392.92965198240864,330.38664885645187,14.653745726423134,-0.00011000505033366343
